,Name,Rating,Genre,Release date,Runtime,Director,Url
0,Sonic the Hedgehog 2,77.0,"Action,Science Fiction,Comedy,Family,Adventure",04/08/2022,2h 2m,Patrick Casey,https://www.themoviedb.org/movie/675353
1,Doctor Strange in the Multiverse of Madness,75.0,"Fantasy,Action,Adventure",05/06/2022,2h 6m,Stan Lee,https://www.themoviedb.org/movie/453395
2,The Bad Guys,77.0,"Animation,Comedy,Action,Family,Crime",04/22/2022,1h 40m,Pierre Perifel,https://www.themoviedb.org/movie/629542
3,Ambulance,70.0,"Action,Thriller,Crime",04/08/2022,2h 16m,Michael Bay,https://www.themoviedb.org/movie/763285
4,Virus:32,68.0,Horror,04/21/2022,1h 30m,Gustavo Hernández,https://www.themoviedb.org/movie/893370
5,The Contractor,64.0,"Action,Thriller",04/01/2022,1h 43m,Tarik Saleh,https://www.themoviedb.org/movie/628900
6,The Outfit,70.0,"Drama,Thriller,Crime",03/18/2022,1h 45m,Graham Moore,https://www.themoviedb.org/movie/799876
7,Fortress: Sniper's Eye,60.0,"Crime,Action",04/29/2022,1h 27m,Josh Sternfeld,https://www.themoviedb.org/movie/883502
8,Fantastic Beasts: The Secrets of Dumbledore,68.0,"Adventure,Fantasy",04/08/2022,2h 22m,David Yates,https://www.themoviedb.org/movie/338953
9,Blacklight,62.0,"Action,Thriller",02/10/2022,1h 44m,Mark Williams,https://www.themoviedb.org/movie/823625
10,¡Qué despadre!,80.0,"Comedy,Family,Romance",02/09/2022,1h 39m,Pedro Pablo Ibarra,https://www.themoviedb.org/movie/937337
11,The Grandmother,60.0,Horror,01/28/2022,1h 40m,Paco Plaza,https://www.themoviedb.org/movie/661791
12,War of the Worlds: Annihilation,54.0,"Science Fiction,Action",12/22/2021,1h 53m,Maximilian Elfeldt,https://www.themoviedb.org/movie/919689
13,Pil's Adventures,69.0,"Adventure,Animation,Comedy,Family,Fantasy",08/11/2021,1h 29m,Julien Fournet,https://www.themoviedb.org/movie/676705
14,My Hero Academia: World Heroes' Mission,74.0,"Animation,Action,Fantasy,Adventure",08/06/2021,1h 45m,Kohei Horikoshi,https://www.themoviedb.org/movie/768744
15,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,84.0,"Animation,Action,Adventure,Fantasy",08/13/2021,1h 57m,Haruo Sotozaki,https://www.themoviedb.org/movie/635302
16,The Lost City,68.0,"Action,Adventure,Comedy,Romance",03/25/2022,1h 52m,Adam Nee,https://www.themoviedb.org/movie/752623
17,The Jack in the Box: Awakening,62.0,Horror,02/24/2022,1h 29m,Lawrence Fowler,https://www.themoviedb.org/movie/801071
18,Morbius,59.0,"Action,Science Fiction,Fantasy",04/01/2022,1h 44m,Gil Kane,https://www.themoviedb.org/movie/526896
19,Crush,73.0,"Comedy,Romance",04/29/2022,1h 32m,Sammi Cohen,https://www.themoviedb.org/movie/860159
20,Redeeming Love,76.0,"Drama,History,Romance",01/21/2022,2h 14m,D. J. Caruso,https://www.themoviedb.org/movie/698508
21,The Requin,47.0,Thriller,01/28/2022,1h 29m,Lê Văn Kiệt,https://www.themoviedb.org/movie/803114
22,Gold,64.0,"Thriller,Action",01/13/2022,1h 37m,Anthony Hayes,https://www.themoviedb.org/movie/760926
23,Last Man Down,63.0,"Action,Thriller",10/19/2021,1h 27m,Fansu Njie,https://www.themoviedb.org/movie/860623
24,Dr. Strange,62.0,"TV Movie,Action,Adventure,Fantasy,Science Fiction",09/06/1978,1h 33m,Philip DeGuere Jr.,https://www.themoviedb.org/movie/50468
25,Tom and Jerry: Cowboy Up!,70.0,"Animation,Comedy,Family,Western",01/25/2022,1h 15m,William Hanna,https://www.themoviedb.org/movie/892153
26,The Commando,66.0,"Action,Crime,Thriller",01/07/2022,1h 33m,Asif Akbar,https://www.themoviedb.org/movie/753232
27,Jackass Forever,69.0,"Comedy,Action,Documentary",02/04/2022,1h 36m,Jeff Tremaine,https://www.themoviedb.org/movie/656663
28,2000 Mules,66.0,"Documentary,Crime",05/02/2022,1h 30m,Dinesh D'Souza,https://www.themoviedb.org/movie/933554
29,The Hunting,49.0,Horror,01/21/2022,1h 31m,Mark Andrew Hamer,https://www.themoviedb.org/movie/870671
30,Doctor Strange,69.0,"Action,Animation,Fantasy,Science Fiction",08/14/2007,1h 16m,Steve Ditko,https://www.themoviedb.org/movie/14830
31,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,62.0,"Animation,Action,Adventure,Fantasy",07/30/2021,1h 34m,Toshifumi Akai,https://www.themoviedb.org/movie/829920
32,Echoes of a Crime,69.0,"Thriller,Horror",01/27/2022,1h 24m,Cristian Bernard,https://www.themoviedb.org/movie/842052
33,The Northman,77.0,"Action,Adventure,Fantasy,Drama",04/22/2022,2h 17m,Robert Eggers,https://www.themoviedb.org/movie/639933
34,PAW Patrol: The Movie,75.0,"Animation,Family,Adventure,Comedy",08/20/2021,1h 26m,Cal Brunker,https://www.themoviedb.org/movie/675445
35,The Exorcism of God,66.0,Horror,02/10/2022,1h 38m,Alejandro Hidalgo,https://www.themoviedb.org/movie/836225
36,Run Gun,51.0,"Action,Thriller",01/11/2022,1h 36m,Christopher Borrelli,https://www.themoviedb.org/movie/910596
37,Queen of Spades,63.0,Horror,08/19/2021,1h 31m,Patrick White,https://www.themoviedb.org/movie/829358
38,Jujutsu Kaisen 0,77.0,"Animation,Action,Adventure,Mystery",12/24/2021,1h 45m,Sunghoo Park,https://www.themoviedb.org/movie/810693
39,Sex Appeal,67.0,"Comedy,Romance",01/14/2022,1h 30m,Talia Osteen,https://www.themoviedb.org/movie/803104
40,The Last Warrior: Root of Evil,72.0,"Fantasy,Adventure,Comedy",01/01/2021,2h,Dmitriy Dyachenko,https://www.themoviedb.org/movie/589754
41,One Shot,68.0,Action,01/21/2022,1h 37m,James Nunn,https://www.themoviedb.org/movie/811592
42,Deathstroke: Knights & Dragons - The Movie,69.0,"Animation,Action,Adventure,Science Fiction",08/04/2020,1h 27m,George Pérez,https://www.themoviedb.org/movie/703771
43,Paranormal Activity: Next of Kin,65.0,"Horror,Mystery,Thriller",10/29/2021,1h 38m,William Eubank,https://www.themoviedb.org/movie/609972
44,Dragon Ball Z: Resurrection 'F',68.0,"Action,Animation,Science Fiction",04/18/2015,1h 33m,Tadayoshi Yamamuro,https://www.themoviedb.org/movie/303857
45,Dark Spell,67.0,"Romance,Horror,Thriller",02/11/2021,1h 32m,Svyatoslav Podgaevsky,https://www.themoviedb.org/movie/633802
46,Meander,61.0,"Horror,Science Fiction,Drama,Thriller",05/26/2021,1h 31m,Mathieu Turi,https://www.themoviedb.org/movie/523936
47,Pursuit,56.0,"Action,Crime,Thriller",02/18/2022,1h 32m,Brian Skiba,https://www.themoviedb.org/movie/871799
48,Curious George: Cape Ahoy,24.0,"Animation,Adventure,Comedy",09/30/2021,1h 28m,Doug Murphy,https://www.themoviedb.org/movie/918832
49,Ripper Untold,64.0,Horror,06/28/2021,1h 25m,Steven Lawson,https://www.themoviedb.org/movie/820511
50,The Last: Naruto the Movie,78.0,"Action,Romance,Animation",12/06/2014,1h 54m,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442
51,Witch Hunt,71.0,"Fantasy,Horror,Thriller,Drama",10/01/2021,1h 32m,Elle Callahan,https://www.themoviedb.org/movie/670429
52,Miraculous World: Shanghai – The Legend of Ladydragon,79.0,"Animation,Comedy,Family,Adventure",05/15/2021,52m,Thomas Astruc,https://www.themoviedb.org/movie/726684
53,Fly Me Away,68.0,"Comedy,Drama",05/19/2021,1h 33m,Christophe Barratier,https://www.themoviedb.org/movie/783558
54,"Miraculous World: New York, United HeroeZ",83.0,"Animation,Family,Comedy,Adventure,TV Movie",11/21/2020,55m,Thomas Astruc,https://www.themoviedb.org/movie/755812
55,Naruto Shippuden the Movie,72.0,"Animation,Action,Fantasy",08/04/2007,1h 34m,Hajime Kamegaki,https://www.themoviedb.org/movie/20982
56,Jurassic World Dominion,0.0,"Adventure,Action,Science Fiction,Thriller",06/10/2022,2h 26m,Colin Trevorrow,https://www.themoviedb.org/movie/507086
57,KKN di Desa Penari,38.0,Horror,04/30/2022,2h 3m,Awi Suryadi,https://www.themoviedb.org/movie/638985
58,Zeros and Ones,52.0,"Thriller,War",11/19/2021,1h 25m,Abel Ferrara,https://www.themoviedb.org/movie/762433
59,Coraline,78.0,"Animation,Family,Fantasy",02/06/2009,1h 40m,Henry Selick,https://www.themoviedb.org/movie/14836
60,Hacksaw Ridge,82.0,"Drama,History,War",10/07/2016,2h 19m,Mel Gibson,https://www.themoviedb.org/movie/324786
61,Infinite,67.0,"Science Fiction,Action,Thriller",09/09/2021,1h 46m,Antoine Fuqua,https://www.themoviedb.org/movie/581726
62,Son,61.0,"Horror,Thriller",08/06/2021,1h 38m,Ivan Kavanagh,https://www.themoviedb.org/movie/754934
63,Dragon Fury,62.0,"Horror,Fantasy,Mystery",06/15/2021,1h 28m,Scott Jeffrey,https://www.themoviedb.org/movie/839436
64,The Marksman,70.0,"Action,Thriller,Crime,Adventure",01/15/2021,1h 48m,Robert Lorenz,https://www.themoviedb.org/movie/634528
65,Tarumama,48.0,"Horror,Drama",07/29/2021,1h 30m,Andres Beltran,https://www.themoviedb.org/movie/775943
66,Boruto: Naruto the Movie,76.0,"Animation,Action,Comedy",08/07/2015,1h 35m,Masashi Kishimoto,https://www.themoviedb.org/movie/347201
67,The Novice,65.0,"Drama,Thriller",03/24/2022,1h 34m,Lauren Hadaway,https://www.themoviedb.org/movie/821427
68,Ava,60.0,Drama,06/21/2017,1h 46m,Léa Mysius,https://www.themoviedb.org/movie/453354
69,¿Y cómo es él?,58.0,Comedy,04/07/2022,1h 35m,Ariel Winograd,https://www.themoviedb.org/movie/671318
70,S.O.S. Mamis: La película,59.0,Comedy,03/18/2022,1h 45m,Gabriela Sobarzo,https://www.themoviedb.org/movie/949218
71,After Ever Happy,0.0,Romance,08/25/2022,1h 59m,Castille Landon,https://www.themoviedb.org/movie/744276
72,Pretty Guardian Sailor Moon Eternal The Movie Part 2,80.0,"Animation,Action,Adventure,Comedy,Drama,Fantasy,Romance",02/11/2021,1h 20m,Naoko Takeuchi,https://www.themoviedb.org/movie/784500
73,Top Gun: Maverick,0.0,"Action,Drama",05/27/2022,2h 11m,Jim Cash,https://www.themoviedb.org/movie/361743
74,The Deep House,64.0,Horror,06/30/2021,1h 25m,Alexandre Bustillo,https://www.themoviedb.org/movie/672582
75,The Human Centipede (First Sequence),52.0,Horror,04/11/2012,1h 32m,Tom Six,https://www.themoviedb.org/movie/37169
76,The Sadness,64.0,"Horror,Action",01/22/2021,1h 39m,Robert Jabbaz,https://www.themoviedb.org/movie/776797
77,Crazy Fist,70.0,Action,05/06/2021,1h 37m,Qing Guo,https://www.themoviedb.org/movie/859041
78,Fortress,62.0,"Crime,Action,Thriller",12/17/2021,1h 40m,James Cullen Bressack,https://www.themoviedb.org/movie/826749
79,Digimon Adventure: Last Evolution Kizuna,78.0,"Animation,Action,Thriller,Adventure,Fantasy",02/21/2020,1h 34m,Akiyoshi Hongo,https://www.themoviedb.org/movie/571265
80,An Egg Rescue,81.0,"Animation,Comedy",08/12/2021,1h 28m,Rodolfo Riva Palacio Alatriste,https://www.themoviedb.org/movie/573164
81,Jurassic Hunt,49.0,"Action,Science Fiction,Thriller",08/26/2021,1h 23m,Hank Braxtan,https://www.themoviedb.org/movie/848278
82,Sator,54.0,Horror,07/21/2019,1h 25m,Jordan Graham,https://www.themoviedb.org/movie/611651
83,Shark: The Beginning,76.0,Action,11/26/2021,1h 48m,Johnny Chae,https://www.themoviedb.org/movie/801604
84,Phobias,53.0,"Horror,Thriller",02/28/2021,1h 25m,Joe Sill,https://www.themoviedb.org/movie/793967
85,Trolls Holiday in Harmony,75.0,"Animation,Fantasy,Family",11/27/2021,30m,Sean Charmatz,https://www.themoviedb.org/movie/896221
86,Exploits of a Young Don Juan,54.0,"Comedy,Drama",03/11/1987,1h 35m,Gianfranco Mingozzi,https://www.themoviedb.org/movie/81774
87,"Yes, No, or Maybe Half?",69.0,"Animation,Drama,Romance",12/11/2020,53m,Masahiro Takata,https://www.themoviedb.org/movie/719088
88,Sinkhole,71.0,"Comedy,Drama",08/11/2021,1h 53m,Kim Ji-hoon,https://www.themoviedb.org/movie/623135
89,Save The Trees,44.0,Animation,12/01/2021,1h 20m,Iker Alvarez,https://www.themoviedb.org/movie/886896
90,Catwoman: Hunted,59.0,"Animation,Action,Crime",02/08/2022,1h 18m,Shinsuke Terasawa,https://www.themoviedb.org/movie/862491
91,Motherly,71.0,"Thriller,Horror",09/21/2021,1h 30m,Craig David Wallace,https://www.themoviedb.org/movie/768447
92,Your Name.,85.0,"Romance,Animation,Drama",08/26/2016,1h 46m,Makoto Shinkai,https://www.themoviedb.org/movie/372058
93,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,84.0,"Animation,Adventure,Comedy,Fantasy",08/30/2019,1h 30m,Takaomi Kanasaki,https://www.themoviedb.org/movie/532067
94,Narco Sub,67.0,"Action,Drama,Crime",01/22/2021,1h 33m,Shawn Welling,https://www.themoviedb.org/movie/706972
95,Dragon Ball Z: Battle of Gods,68.0,"Animation,Action,Science Fiction",03/30/2013,1h 25m,Akira Toriyama,https://www.themoviedb.org/movie/126963
96,Firestarter,83.0,"Thriller,Fantasy,Horror",05/13/2022,1h 34m,Keith Thomas,https://www.themoviedb.org/movie/532710
97,Goblin Slayer: Goblin's Crown,76.0,"Animation,Adventure,Action,Fantasy",02/01/2020,1h 25m,Takaharu Ozaki,https://www.themoviedb.org/movie/631132
98,Demonic,48.0,"Horror,Thriller",08/20/2021,1h 44m,Neill Blomkamp,https://www.themoviedb.org/movie/774021
99,Gone Mom: The Disappearance of Jennifer Dulos,77.0,"TV Movie,Thriller,Crime",11/24/2021,1h 28m,Gail Harvey,https://www.themoviedb.org/movie/831223
100,Halo Legends,74.0,"Animation,War,Drama",02/16/2010,2h,Megumi Shimizu,https://www.themoviedb.org/movie/573531
101,Survive the Game,58.0,"Action,Thriller,Crime",10/08/2021,1h 37m,James Cullen Bressack,https://www.themoviedb.org/movie/787310
102,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,81.0,"Animation,Comedy,Mystery,Family,Fantasy",09/14/2021,1h 12m,Ken Spears,https://www.themoviedb.org/movie/843906
103,Rogue Hostage,61.0,"Action,Thriller",06/11/2021,1h 34m,Jon Keeyes,https://www.themoviedb.org/movie/825997
104,Time Is Up,63.0,"Romance,Drama",09/09/2021,1h 48m,Elisa Amoruso,https://www.themoviedb.org/movie/763148
105,Matando Cabos 2: La Máscara del Máscara,78.0,"Action,Comedy,Adventure",10/01/2021,1h 42m,Alejandro Lozano,https://www.themoviedb.org/movie/772436
106,Dragon Ball Z: Broly – The Legendary Super Saiyan,72.0,"Animation,Science Fiction,Action",03/06/1993,1h 10m,Takao Koyama,https://www.themoviedb.org/movie/34433
107,Given,85.0,"Animation,Drama,Music,Romance",08/22/2020,1h,Hikaru Yamaguchi,https://www.themoviedb.org/movie/632632
108,"Sex, Shame and Tears 2",46.0,"Comedy,Drama",02/04/2022,1h 58m,Alonso Iñiguez,https://www.themoviedb.org/movie/930701
109,Dragon Ball Z: Broly – Second Coming,67.0,"Animation,Action,Science Fiction",03/12/1994,48m,Akira Toriyama,https://www.themoviedb.org/movie/44251
110,Separation,57.0,"Horror,Drama",04/30/2021,1h 47m,William Brent Bell,https://www.themoviedb.org/movie/760195
111,The Haunting of Helena,56.0,"Horror,Thriller",06/21/2013,1h 27m,Christian Bisceglia,https://www.themoviedb.org/movie/159211
112,Spirit Untamed,75.0,"Animation,Adventure,Family,Western",06/04/2021,1h 28m,Elaine Bogan,https://www.themoviedb.org/movie/637693
113,Swim,70.0,"Horror,Action",08/13/2021,1h 27m,Jared Cohn,https://www.themoviedb.org/movie/861057
114,Injustice,77.0,"Animation,Science Fiction,Fantasy,Action",10/09/2021,1h 18m,Ernie Altbacker,https://www.themoviedb.org/movie/831405
115,Weathering with You,81.0,"Animation,Drama,Fantasy,Romance",07/19/2019,1h 52m,Makoto Shinkai,https://www.themoviedb.org/movie/568160
116,Laura y el misterio del asesino inesperado,68.0,"TV Movie,Mystery,Thriller,Comedy",01/13/2022,1h 30m,Pablo Guerrero,https://www.themoviedb.org/movie/922885
117,El amarre,71.0,Horror,10/21/2021,1h 17m,Carlos Quintanilla Sakar,https://www.themoviedb.org/movie/676840
118,Martyrs,74.0,"Horror,Drama,Thriller",09/03/2008,1h 39m,Pascal Laugier,https://www.themoviedb.org/movie/9539
